Nome host:                            WINDOWSuper18
Nome SO:                              Microsoft Windows 10 
Versione SO:                          10.0.19045 N/D build 19045
Produttore SO:                        Microsoft Corporation
Configurazione SO:                    Personal 
Tipo build SO:                        Multiprocessor Free
Proprietario registrato:              Iron Man
Numero di serie:                      D7552-17730-10954-57FF6

Produttore sistema:                   Gigabyte Technology
Modello sistema:                      MS-600
Tipo sistema:                         x32-based PC
Processore:                           1x processore istallato
				      [i5]-19th -19600kf

Versione BIOS:                        American Megatrends Inc. 1.60, 26/04/2017

Directory Windows:                    C:\Windows
Directory di sistema:                 C:\Windows\system32
